zip-code,city,county_x,2018-county-housing-wage,jurisdiction,county_y,rhna-vl,total-vl,percent-vl,rhna-low,total-low,percent-low,rhna-mod,total-mod,percent-mod,rhna-above,total-above,percent-above,rhna-total,total-total,percent-total
94536,Fremont,Alameda,$44.79,Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%
94538,Fremont,Alameda,$44.79,Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%
94539,Fremont,Alameda,$44.79,Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%
94555,Fremont,Alameda,$44.79,Fremont,Alameda,"1,714",283,17%,926,249,27%,978,1,0%,"1,837","2,409",131%,"5,455","2,942",54%
94541,Hayward,Alameda,$44.79,Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%
94542,Hayward,Alameda,$44.79,Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%
94544,Hayward,Alameda,$44.79,Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%
94545,Hayward,Alameda,$44.79,Hayward,Alameda,851,40,5%,480,19,4%,608,0,0%,"1,981",726,37%,"3,920",785,20%
94560,Newark,Alameda,$44.79,Newark,Alameda,330,0,0%,167,0,0%,158,0,0%,423,444,105%,"1,078",444,41%
94587,Union City,Alameda,$44.79,Union City,Alameda,317,0,0%,180,0,0%,192,249,130%,417,73,18%,"1,106",322,29%
94002,Belmont,San Mateo,$60.02,Belmont,San Mateo,116,0,0%,63,0,0%,67,4,6%,222,118,53%,468,122,26%
94015,Daly City,San Mateo,$60.02,Daly City,San Mateo,400,21,5%,188,207,110%,221,43,19%,541,192,35%,"1,350",463,34%
94019,Half Moon Bay,San Mateo,$60.02,Half Moon Bay,San Mateo,52,0,0%,31,0,0%,36,11,31%,121,14,12%,240,25,10%
94025,Menlo Park,San Mateo,$60.02,Menlo Park,San Mateo,233,80,34%,129,28,22%,143,1,1%,150,740,493%,655,849,130%
94030,Millbrae,San Mateo,$60.02,Millbrae,San Mateo,193,0,0%,101,0,0%,112,0,0%,257,0,0%,663,0,0%
94044,Pacifica,San Mateo,$60.02,Pacifica,San Mateo,121,0,0%,68,0,0%,70,6,9%,154,24,16%,413,30,7%
94063,Redwood City,San Mateo,$60.02,Redwood City,San Mateo,706,7,1%,429,55,13%,502,0,0%,"1,152",829,72%,"2,789",891,32%
94064,Redwood City,San Mateo,$60.02,Redwood City,San Mateo,706,7,1%,429,55,13%,502,0,0%,"1,152",829,72%,"2,789",891,32%
94066,San Bruno,San Mateo,$60.02,San Bruno,San Mateo,358,0,0%,161,17,11%,205,42,20%,431,51,12%,"1,155",110,10%
94070,San Carlos,San Mateo,$60.02,San Carlos,San Mateo,195,5,3%,107,11,10%,111,9,8%,183,399,218%,596,424,71%
94080,South San Francisco,San Mateo,$60.02,South San Francisco,San Mateo,565,80,14%,281,4,1%,313,28,9%,705,413,59%,"1,864",525,28%
94401,San Mateo,San Mateo,$60.02,San Mateo,San Mateo,859,37,4%,469,23,5%,530,27,5%,"1,242",941,76%,"3,100","1,028",33%
94402,San Mateo,San Mateo,$60.02,San Mateo,San Mateo,859,37,4%,469,23,5%,530,27,5%,"1,242",941,76%,"3,100","1,028",33%
94403,San Mateo,San Mateo,$60.02,San Mateo,San Mateo,859,37,4%,469,23,5%,530,27,5%,"1,242",941,76%,"3,100","1,028",33%
94005,Brisbane,Santa Clara,$48.50,Brisbane,San Mateo,25,0,0%,13,0,0%,15,7,47%,30,10,33%,83,17,20%
94040,Mountain View,Santa Clara,$48.50,Mountain View,Santa Clara,814,120,15%,492,135,27%,527,0,0%,"1,093","2,004",183%,"2,926","2,259",77%
94041,Mountain View,Santa Clara,$48.50,Mountain View,Santa Clara,814,120,15%,492,135,27%,527,0,0%,"1,093","2,004",183%,"2,926","2,259",77%
94043,Mountain View,Santa Clara,$48.50,Mountain View,Santa Clara,814,120,15%,492,135,27%,527,0,0%,"1,093","2,004",183%,"2,926","2,259",77%
94085,Sunnyvale,Santa Clara,$48.50,Sunnyvale,Santa Clara,"1,640",89,5%,906,20,2%,932,83,9%,"1,974","1,380",70%,"5,452","1,572",29%
94086,Sunnyvale,Santa Clara,$48.50,Sunnyvale,Santa Clara,"1,640",89,5%,906,20,2%,932,83,9%,"1,974","1,380",70%,"5,452","1,572",29%
94087,Sunnyvale,Santa Clara,$48.50,Sunnyvale,Santa Clara,"1,640",89,5%,906,20,2%,932,83,9%,"1,974","1,380",70%,"5,452","1,572",29%
94089,Sunnyvale,Santa Clara,$48.50,Sunnyvale,Santa Clara,"1,640",89,5%,906,20,2%,932,83,9%,"1,974","1,380",70%,"5,452","1,572",29%
94301,Palo Alto,Santa Clara,$48.50,Palo Alto,Santa Clara,691,20,3%,432,58,13%,278,38,14%,587,229,39%,"1,988",345,17%
94304,Palo Alto,Santa Clara,$48.50,Palo Alto,Santa Clara,691,20,3%,432,58,13%,278,38,14%,587,229,39%,"1,988",345,17%
94305,Palo Alto,Santa Clara,$48.50,Palo Alto,Santa Clara,691,20,3%,432,58,13%,278,38,14%,587,229,39%,"1,988",345,17%
94306,Palo Alto,Santa Clara,$48.50,Palo Alto,Santa Clara,691,20,3%,432,58,13%,278,38,14%,587,229,39%,"1,988",345,17%
95008,Campbell,Santa Clara,$48.50,Campbell,Santa Clara,253,9,4%,138,6,4%,151,15,10%,391,294,75%,933,324,35%
95020,Gilroy,Santa Clara,$48.50,Gilroy,Santa Clara,236,26,11%,160,249,156%,217,7,3%,475,720,152%,"1,088","1,002",92%
95032,Los Gatos,Santa Clara,$48.50,Los Gatos,Santa Clara,201,0,0%,112,2,2%,132,9,7%,174,52,30%,619,63,10%
95033,Los Gatos,Santa Clara,$48.50,Los Gatos,Santa Clara,201,0,0%,112,2,2%,132,9,7%,174,52,30%,619,63,10%
95035,Milpitas,Santa Clara,$48.50,Milpitas,Santa Clara,"1,004",10,1%,570,0,0%,565,0,0%,"1,151",82,7%,"3,290",92,3%
95050,Santa Clara,Santa Clara,$48.50,Santa Clara,Santa Clara,"1,050",0,0%,695,0,0%,755,4,1%,"1,593","2,175",137%,"4,093","2,179",53%
95051,Santa Clara,Santa Clara,$48.50,Santa Clara,Santa Clara,"1,050",0,0%,695,0,0%,755,4,1%,"1,593","2,175",137%,"4,093","2,179",53%
95054,Santa Clara,Santa Clara,$48.50,Santa Clara,Santa Clara,"1,050",0,0%,695,0,0%,755,4,1%,"1,593","2,175",137%,"4,093","2,179",53%
95070,Saratoga,Santa Clara,$48.50,Saratoga,Santa Clara,147,0,0%,95,32,34%,104,5,5%,93,18,19%,439,55,13%
95110,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95111,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95112,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95113,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95116,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95117,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95118,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95119,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95120,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95121,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95122,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95123,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95124,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95125,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95126,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95127,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95128,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95129,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95130,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95131,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95132,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95133,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95134,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95135,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95136,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95138,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95139,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95140,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
95148,San Jose,Santa Clara,$48.50,San Jose,Santa Clara,"9,233",452,5%,"5,428",122,2%,"6,188",285,5%,"14,231","6,345",45%,"35,080","7,204",21%
